name,path,rows,id_col,correct_col,loaded_cases,skipped_rows,accuracy
lg_conditional_debate_689,wandb_exports\lg_conditional_debate_689.csv,689,image_id,final_correct,689,0,0.5094339622641509
lg_conservative_689,wandb_exports\lg_conservative_689.csv,689,image_id,final_correct,689,0,0.4934687953555878
lg_describe_fuse_689,wandb_exports\lg_describe_fuse_689.csv,689,image_id,final_correct,689,0,0.4949201741654572
lg_directed_debate_689,wandb_exports\lg_directed_debate_689.csv,689,image_id,final_correct,689,0,0.45573294629898403
lg_option_ranking_689,wandb_exports\lg_option_ranking_689.csv,689,image_id,final_correct,689,0,0.5079825834542816
mode1_cot_689,wandb_exports\mode1_cot_689.csv,689,image_id,meta_correct,689,0,0.409288824383164
mode1_qwen_vision_689,wandb_exports\mode1_qwen_vision_689.csv,689,image_id,meta_correct,689,0,0.3991291727140784
mode2_debate_689,wandb_exports\mode2_debate_689.csv,689,image_id,meta_correct,689,0,0.46008708272859217
mode3_structured_689,wandb_exports\mode3_structured_689.csv,686,image_id,meta_correct,686,0,0.4489795918367347
mode3b_structured_debate_689,wandb_exports\mode3b_structured_debate_689.csv,689,image_id,meta_correct,689,0,0.46734397677793904
rag_text_689,wandb_exports\rag_text_689.csv,689,image_id,meta_correct,689,0,0.37010159651669083
Single_Agent_MedGemma-1.5-4B_689cases,wandb_exports\Single_Agent_MedGemma-1.5-4B_689cases.csv,689,image_id,correct,689,0,0.4702467343976778
Single_Agent_Qwen2.5VL-7B_689cases,wandb_exports\Single_Agent_Qwen2.5VL-7B_689cases.csv,689,image_id,correct,689,0,0.4847605224963715
thoughtcomm_339,wandb_exports\thoughtcomm_339.csv.csv,339,image_id,vision_r1_correct,339,0,0.37168141592920356
